Ticket ID,Created Time,Resolved Time,Priority,Category,Department,Description
TCKT00001,2023-02-18 16:00:00,2023-02-21 07:00:00,Low,Software,Support,System crash during deployment
TCKT00002,2023-01-08 10:00:00,2023-01-10 06:00:00,High,Software,IT,Requesting new mouse and keyboard
TCKT00003,2023-03-20 11:00:00,2023-03-21 22:00:00,High,Network,Support,System crash during deployment
TCKT00004,2023-01-06 08:00:00,2023-01-07 20:00:00,High,Software,Support,Bug found in internal app
TCKT00005,2023-01-25 21:00:00,2023-01-28 06:00:00,High,Hardware,HR,System crash during deployment
TCKT00006,2023-02-28 08:00:00,2023-03-02 08:00:00,Medium,Bug Report,Engineering,Laptop running slow
TCKT00007,2023-02-05 21:00:00,2023-02-07 07:00:00,Urgent,Network,Finance,Forgot Windows password
TCKT00008,2023-01-11 10:00:00,2023-01-12 00:00:00,Urgent,Software,Engineering,Requesting new mouse and keyboard
TCKT00009,2023-02-24 23:00:00,2023-02-26 18:00:00,Medium,Access Request,Support,Outlook not sending emails
TCKT00010,2023-03-22 10:00:00,2023-03-24 11:00:00,Medium,Network,Support,Bug found in internal app
TCKT00011,2023-01-29 02:00:00,2023-01-29 05:00:00,Low,Access Request,Finance,WiFi is unstable in the office
TCKT00012,2023-02-01 14:00:00,2023-02-03 13:00:00,Urgent,Access Request,Support,Bug found in internal app
TCKT00013,2023-02-17 09:00:00,2023-02-20 09:00:00,Low,Bug Report,Finance,Forgot Windows password
TCKT00014,2023-02-02 15:00:00,2023-02-03 00:00:00,Urgent,Hardware,Support,Forgot Windows password
TCKT00015,2023-01-09 06:00:00,2023-01-10 16:00:00,High,Access Request,Finance,Need access to Jira
TCKT00016,2023-01-24 20:00:00,2023-01-27 03:00:00,Urgent,Bug Report,IT,WiFi is unstable in the office
TCKT00017,2023-03-04 06:00:00,2023-03-06 16:00:00,Low,Hardware,IT,Outlook not sending emails
TCKT00018,2023-01-03 00:00:00,2023-01-04 02:00:00,Medium,Software,Finance,Requesting new mouse and keyboard
TCKT00019,2023-03-23 12:00:00,2023-03-25 09:00:00,Medium,Software,HR,Need access to Jira
TCKT00020,2023-02-01 13:00:00,2023-02-02 20:00:00,Urgent,Access Request,Finance,Bug found in internal app
